account_id,month_start,month_label,month_index,tenure_months,plan_tier,seats_licensed,mrr_usd,arr_usd,term_end_date,days_subscribed,core_events,total_events,active_users,active_days,sessions,feature_areas_used,distinct_features_used,power_feature_events,advanced_feature_events,seat_utilisation,events_per_active_user,top_user_event_share,tickets_opened,high_priority_tickets,avg_csat,last_event_date,prev_core_events,rolling_3m_events,prior_3m_events,is_contiguous,consecutive_zero_usage_months,mom_change_pct,rolling_3m_change_pct,days_to_renewal,account_name,industry,country,employee_band,acquisition_channel,csm_owner,is_managed_account,signup_date,feature_areas_adopted,adoption_breadth_pct,size_segment,lifecycle_segment,engagement_segment,flag_zero_usage,flag_dormant_2m,flag_sharp_mom_decline,flag_sustained_decline,flag_low_seat_utilisation,flag_single_active_user,flag_narrow_adoption,flag_low_frequency,flag_support_pressure,flag_renewal_soon,risk_score,risk_band,risk_reasons
ACC-00056,2026-07-01,2026-07,23,47,enterprise,231,11319.8,135837.6,2026-08-18,31,0,0,0,0,0,0,0,0,0,0.0,,0.0,0,0,,,0,0.3333333333333333,0.0,true,3,,,48,GraniteDynamics 016,Financial Services,United States,1-50,inbound,H. Nowak,true,2022-08-19,0,0.0,Enterprise,Mature,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 3 months; renews in 48 days
ACC-00264,2026-02-01,2026-02,18,24,enterprise,178,8347.19,100166.28,2026-02-18,17,0,0,0,0,0,0,0,0,0,0.0,,0.0,0,0,,,0,0.0,0.0,true,19,,,17,CorvusPartners 058,Retail,Canada,51-200,partner,D. Sharma,true,2024-02-19,0,0.0,Enterprise,Mature,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 19 months; renews in 17 days
ACC-00274,2026-02-01,2026-02,18,23,enterprise,139,6613.46,79361.52,2026-03-14,28,0,0,0,0,0,0,0,0,0,0.0,,0.0,1,0,1.0,,0,0.0,0.3333333333333333,true,6,,,41,NorthIndustries 221,Education,Germany,51-200,outbound,G. Alvarez,true,2024-03-14,0,0.0,Enterprise,Established,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 6 months; renews in 41 days
ACC-00155,2026-04-01,2026-04,20,35,growth,33,714.2,8570.4,2026-04-30,29,0,0,0,0,0,0,0,0,0,0.0,,0.0,1,0,2.0,,0,0.0,0.0,true,21,,,29,HalcyonTechnologies 235,,Canada,51-200,partner,E. Rossi,true,2023-05-01,0,0.0,SMB,Mature,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 21 months; renews in 29 days
ACC-00134,2025-02-01,2025-02,6,23,growth,30,670.99,8051.88,2025-03-07,28,0,0,0,0,0,0,0,0,0,0.0,,0.0,0,0,,,0,0.0,0.0,true,7,,,34,OnyxPartners 034,Financial Services,United Kingdom,1-50,inbound,B. Lindqvist,true,2023-03-08,0,0.0,SMB,Established,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 7 months; renews in 34 days
ACC-00214,2026-07-01,2026-07,23,34,growth,27,608.07,7296.84,2026-09-18,31,0,0,0,0,0,0,0,0,0,0.0,,0.0,0,0,,,0,0.0,0.0,true,22,,,79,PinnacleIndustries 077,Technology,United States,51-200,partner,B. Lindqvist,true,2023-09-19,0,0.0,SMB,Mature,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 22 months; renews in 79 days
ACC-00150,2026-04-01,2026-04,20,36,growth,32,598.96,7187.52,2026-04-25,24,0,0,0,0,0,0,0,0,0,0.0,,0.0,0,0,,,0,0.0,0.0,true,21,,,24,PinnacleTechnologies 055,Financial Services,Australia,1-50,partner,H. Nowak,true,2023-04-26,0,0.0,SMB,Mature,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 21 months; renews in 24 days
ACC-00316,2026-07-01,2026-07,23,23,growth,22,488.43,5861.16,2026-08-22,31,0,0,0,0,0,0,0,0,0,0.0,,0.0,0,0,,,0,0.0,0.0,true,23,,,52,CedarAnalytics 467,Non-profit,Germany,1-50,referral,C. Moreau,true,2024-08-22,0,0.0,SMB,Established,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 23 months; renews in 52 days
ACC-00483,2026-07-01,2026-07,23,10,growth,19,358.36,4300.32,2026-09-29,31,0,0,0,0,0,0,0,0,0,0.0,,0.0,0,0,,,0,0.0,0.0,true,10,,,90,SummitDynamics 400,Education,United Kingdom,1-50,outbound,B. Lindqvist,true,2025-09-29,0,0.0,SMB,Establishing,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 10 months; renews in 90 days
ACC-00210,2026-07-01,2026-07,23,34,starter,13,139.37,1672.44,2026-09-07,31,0,0,0,0,0,0,0,0,0,0.0,,0.0,1,0,,,0,0.0,0.0,true,24,,,68,RiverstoneIndustries 197,Technology,United States,201-1000,self_serve,H. Nowak,true,2023-09-08,0,0.0,Self-Serve,Mature,Dormant,true,true,false,false,true,false,true,false,false,true,83,High,no usage for 24 months; renews in 68 days
