month_start,month_label,feature_area,eligible_accounts,adopting_accounts,adoption_rate,events,users_using
2024-08-01,2024-08,admin,310,267,0.8613,2958,1589
2024-08-01,2024-08,automation,310,0,0.0,0,0
2024-08-01,2024-08,collaboration,310,153,0.4935,3176,1406
2024-08-01,2024-08,documents,310,152,0.4903,3920,1665
2024-08-01,2024-08,integrations,310,125,0.4032,1033,621
2024-08-01,2024-08,reporting,310,140,0.4516,2506,1159
2024-09-01,2024-09,admin,322,284,0.882,6732,2681
2024-09-01,2024-09,automation,322,0,0.0,0,0
2024-09-01,2024-09,collaboration,322,158,0.4907,7710,2245
2024-09-01,2024-09,documents,322,152,0.472,8658,2584
2024-09-01,2024-09,integrations,322,144,0.4472,2376,1129
2024-09-01,2024-09,reporting,322,147,0.4565,5804,1928
2024-10-01,2024-10,admin,337,305,0.905,9873,3375
2024-10-01,2024-10,automation,337,0,0.0,0,0
2024-10-01,2024-10,collaboration,337,169,0.5015,11702,2850
2024-10-01,2024-10,documents,337,161,0.4777,12928,3166
2024-10-01,2024-10,integrations,337,156,0.4629,3437,1394
2024-10-01,2024-10,reporting,337,156,0.4629,8889,2469
2024-11-01,2024-11,admin,354,322,0.9096,10986,3686
2024-11-01,2024-11,automation,354,0,0.0,0,0
2024-11-01,2024-11,collaboration,354,178,0.5028,13282,3065
2024-11-01,2024-11,documents,354,172,0.4859,13749,3273
2024-11-01,2024-11,integrations,354,164,0.4633,3736,1491
2024-11-01,2024-11,reporting,354,169,0.4774,10093,2649
2024-12-01,2024-12,admin,370,337,0.9108,11903,3893
2024-12-01,2024-12,automation,370,0,0.0,0,0
2024-12-01,2024-12,collaboration,370,187,0.5054,14786,3237
2024-12-01,2024-12,documents,370,175,0.473,15084,3503
2024-12-01,2024-12,integrations,370,171,0.4622,4133,1679
2024-12-01,2024-12,reporting,370,177,0.4784,11375,2926
2025-01-01,2025-01,admin,380,345,0.9079,12781,4090
2025-01-01,2025-01,automation,380,0,0.0,0,0
2025-01-01,2025-01,collaboration,380,191,0.5026,16515,3555
2025-01-01,2025-01,documents,380,181,0.4763,16704,3675
2025-01-01,2025-01,integrations,380,180,0.4737,5384,1978
2025-01-01,2025-01,reporting,380,183,0.4816,12965,3176
2025-02-01,2025-02,admin,396,356,0.899,12799,4200
2025-02-01,2025-02,automation,396,0,0.0,0,0
2025-02-01,2025-02,collaboration,396,197,0.4975,16130,3509
2025-02-01,2025-02,documents,396,189,0.4773,17032,3787
2025-02-01,2025-02,integrations,396,188,0.4747,5995,2116
2025-02-01,2025-02,reporting,396,193,0.4874,13725,3249
2025-03-01,2025-03,admin,411,372,0.9051,12469,4136
2025-03-01,2025-03,automation,411,0,0.0,0,0
2025-03-01,2025-03,collaboration,411,208,0.5061,16106,3583
2025-03-01,2025-03,documents,411,196,0.4769,16935,3817
2025-03-01,2025-03,integrations,411,197,0.4793,5940,2176
2025-03-01,2025-03,reporting,411,201,0.4891,13698,3343
2025-04-01,2025-04,admin,427,389,0.911,13924,4446
2025-04-01,2025-04,automation,427,0,0.0,0,0
2025-04-01,2025-04,collaboration,427,217,0.5082,18086,3904
2025-04-01,2025-04,documents,427,201,0.4707,18884,4057
2025-04-01,2025-04,integrations,427,203,0.4754,6966,2383
2025-04-01,2025-04,reporting,427,208,0.4871,15695,3624
2025-05-01,2025-05,admin,443,400,0.9029,14380,4581
2025-05-01,2025-05,automation,443,0,0.0,0,0
2025-05-01,2025-05,collaboration,443,223,0.5034,18466,4010
2025-05-01,2025-05,documents,443,211,0.4763,18963,4175
