event_name,feature_area,adoption_tier,launched_date,launched_in_window,accounts_using,users_using,events,pct_accounts_using,first_used_date,months_available_in_window
user_invited,admin,basic,2023-01-01,false,470,14564,328932,0.94,2024-08-01,23
mention_created,collaboration,basic,2023-01-01,false,268,8467,175558,0.536,2024-08-01,23
task_assigned,collaboration,advanced,2023-01-01,false,264,7510,86489,0.528,2024-08-01,23
comment_added,collaboration,basic,2023-01-01,false,264,8444,174219,0.528,2024-08-01,23
integration_connected,integrations,advanced,2023-01-01,false,256,7610,93849,0.512,2024-08-01,23
api_call,integrations,power,2025-01-15,true,255,5596,32405,0.51,2025-01-15,18
integration_synced,integrations,power,2023-01-01,false,254,6025,38133,0.508,2024-08-01,23
data_exported,reporting,advanced,2023-01-01,false,251,7368,74199,0.502,2024-08-01,23
dashboard_created,reporting,advanced,2023-01-01,false,250,7491,78554,0.5,2024-08-01,23
doc_created,documents,basic,2023-01-01,false,250,8439,163295,0.5,2024-08-01,23
report_run,reporting,basic,2023-01-01,false,249,8640,184971,0.498,2024-08-01,23
report_scheduled,reporting,power,2023-01-01,false,247,5935,34450,0.494,2024-08-01,23
doc_shared,documents,advanced,2023-01-01,false,246,7221,65803,0.492,2024-08-01,23
doc_edited,documents,basic,2023-01-01,false,246,8398,159012,0.492,2024-08-01,23
template_used,documents,advanced,2023-01-01,false,245,7430,73733,0.49,2024-08-01,23
automation_run,automation,power,2025-06-01,true,240,4709,23004,0.48,2025-06-01,13
automation_created,automation,power,2025-06-01,true,240,4724,23869,0.48,2025-06-01,13
