month_start,month_label,eligible_accounts,monthly_active_accounts,monthly_active_users,total_core_events,zero_usage_accounts,declining_accounts,sustained_decline_accounts,high_risk_accounts,medium_risk_accounts,total_arr_usd,arr_at_high_risk_usd,avg_seat_utilisation,avg_active_days,avg_feature_areas_adopted,active_account_rate,pct_arr_at_high_risk,events_mom_change,maa_mom_change
2024-08-01,2024-08,310,302,4060,13593,8,0,0,1,31,6063682.2,1935.24,0.2841,15.04,2.7,0.9742,0.0003,,
2024-09-01,2024-09,322,297,5825,31280,25,0,0,24,5,6289068.48,749733.96,0.3824,19.41,2.75,0.9224,0.1192,1.3012,-0.0166
2024-10-01,2024-10,337,314,6729,46829,23,1,0,21,10,6595873.44,750733.32,0.4153,21.85,2.81,0.9318,0.1138,0.4971,0.0572
2024-11-01,2024-11,354,328,7105,51846,26,8,0,25,7,6858392.16,764231.64,0.4136,21.2,2.84,0.9266,0.1114,0.1071,0.0446
2024-12-01,2024-12,370,342,7452,57281,28,6,1,26,15,7165854.96,765348.36,0.417,22.22,2.83,0.9243,0.1068,0.1048,0.0427
2025-01-01,2025-01,380,351,7899,64349,29,7,3,28,12,7335017.04,789712.56,0.428,22.28,2.84,0.9237,0.1077,0.1234,0.0263
2025-02-01,2025-02,396,362,8046,65681,34,13,8,30,18,7758014.28,810983.4,0.4156,20.27,2.84,0.9141,0.1045,0.0207,0.0313
2025-03-01,2025-03,411,379,8170,65148,32,17,16,33,17,8093060.4,982344.72,0.4085,21.7,2.86,0.9221,0.1214,-0.0081,0.047
2025-04-01,2025-04,427,395,8711,73555,32,10,34,31,23,8498094.72,940314.12,0.4112,21.65,2.85,0.9251,0.1106,0.129,0.0422
2025-05-01,2025-05,443,409,9006,74821,34,13,36,33,29,8919062.04,943933.8,0.4097,21.84,2.85,0.9233,0.1058,0.0172,0.0354
2025-06-01,2025-06,450,414,9261,78375,36,11,33,37,19,8964020.16,1120939.68,0.4192,21.59,3.31,0.92,0.125,0.0475,0.0122
2025-07-01,2025-07,451,415,9717,85960,36,16,35,37,24,8994731.04,1120377.12,0.4338,22.69,3.35,0.9202,0.1246,0.0968,0.0024
2025-08-01,2025-08,460,424,9645,79833,36,22,42,37,28,9149851.68,1167972.84,0.423,21.93,3.35,0.9217,0.1276,-0.0713,0.0217
2025-09-01,2025-09,465,431,9967,85777,34,10,40,35,29,9219544.2,1051427.4,0.4348,21.83,3.36,0.9269,0.114,0.0745,0.0165
2025-10-01,2025-10,470,434,10056,88442,36,14,45,37,31,9279085.44,1090594.44,0.4354,22.35,3.37,0.9234,0.1175,0.0311,0.007
2025-11-01,2025-11,472,435,10098,83352,37,19,52,37,36,9313012.2,1094616.12,0.4344,20.97,3.35,0.9216,0.1175,-0.0576,0.0023
2025-12-01,2025-12,478,442,10373,93257,36,9,55,37,41,9511209.12,1095777.84,0.4415,22.09,3.38,0.9247,0.1152,0.1188,0.0161
2026-01-01,2026-01,478,440,10271,94610,38,13,54,39,38,9470466.36,1088135.16,0.4337,21.78,3.36,0.9205,0.1149,0.0145,-0.0045
2026-02-01,2026-02,476,439,10312,95771,37,15,58,37,43,9438054.96,1048724.64,0.4413,20.02,3.37,0.9223,0.1111,0.0123,-0.0023
2026-03-01,2026-03,474,438,10178,95364,36,16,60,37,41,9263989.44,894500.04,0.434,21.55,3.34,0.9241,0.0966,-0.0042,-0.0023
2026-04-01,2026-04,475,439,10243,97839,36,13,48,37,36,9307780.2,929518.68,0.4385,21.1,3.37,0.9242,0.0999,0.026,0.0023
2026-05-01,2026-05,468,435,9878,89719,33,22,60,36,46,9267651.36,788325.0,0.4273,20.9,3.38,0.9295,0.0851,-0.083,-0.0091
2026-06-01,2026-06,467,434,9930,97758,33,10,68,34,43,9179090.04,916560.12,0.4365,20.77,3.37,0.9293,0.0999,0.0896,-0.0023
2026-07-01,2026-07,466,434,9876,95765,32,13,65,32,52,9085569.24,881806.08,0.4346,21.3,3.35,0.9313,0.0971,-0.0204,0.0
